feature,importance
URLSimilarityIndex,0.2237263958637039
NoOfExternalRef,0.17692133217366365
LineOfCode,0.1388785693103334
NoOfImage,0.07984558991717358
NoOfSelfRef,0.06255746005522247
NoOfJS,0.05946927099862644
NoOfCSS,0.052817654168040705
HasSocialNet,0.03480066817524885
NoOfOtherSpecialCharsInURL,0.02913881485974089
IsHTTPS,0.023416257217061864
HasCopyrightInfo,0.02328089874905769
NoOfDegitsInURL,0.012750443441610259
LargestLineLength,0.01173119438180589
DegitRatioInURL,0.010201801936501236
HasDescription,0.009933569593111652
URLLength,0.009675208095746641
IsResponsive,0.006082244471698303
NoOfLettersInURL,0.0057586775003578275
SpacialCharRatioInURL,0.005108004483856683
DomainTitleMatchScore,0.004764344989414416
HasSubmitButton,0.0038625622887869487
NoOfSubDomain,0.003543317737772791
LetterRatioInURL,0.0034048442715208832
URLTitleMatchScore,0.0020310752159689175
Robots,0.001597845124317425
HasFavicon,0.0013101056613447814
URLCharProb,0.0008983022372942543
DomainLength,0.000518942749364082
NoOfEqualsInURL,0.0004256290334141654
CharContinuationRate,0.0003747647703362791
TLDLegitimateProb,0.0001792430881756172
NoOfEmptyRef,0.00014796715150471423
NoOfiFrame,0.0001375140482740999
HasPasswordField,0.00013135102411301056
TLD,0.00012605498562373458
HasHiddenFields,0.00012504781242119
HasTitle,0.00011393885916054397
TLDLength,0.00010607776475274368
NoOfQMarkInURL,2.6042928017177138e-05
NoOfPopup,2.573971042094344e-05
Pay,1.4123955427079895e-05
NoOfURLRedirect,1.3303596787690566e-05
Bank,1.2990791768602087e-05
Crypto,5.324239499961267e-06
HasExternalFormSubmit,2.940045709090626e-06
NoOfAmpersandInURL,2.413938954133958e-06
IsDomainIP,2.0475554860463524e-06
NoOfSelfRedirect,1.2757993640771058e-06
NoOfObfuscatedChar,6.03557788263291e-07
HasObfuscation,2.0967465452918465e-07
ObfuscationRatio,0.0
